video_id,title,published_at,views,likes,comments,duration,has_short_tag,url,engagement,engagement_rate
EiVdgm9CDrU,"“Window seat, endless views & a peaceful journey. 🚆💚🌿” #rajraushanofficial #rajraushan #bihar #new",2026-08-30 15:51:04+00:00,1157,0,0,PT29S,False,https://www.youtube.com/watch?v=EiVdgm9CDrU,0,0.0
HAmPn41tVw8,4k Video !! Maa Devi Mandir 🙏 | Special Puja & Hawan 🔥 | 2026 Video #rajraushanvlog #new #rajraushan,2026-08-29 08:17:32+00:00,33,0,5,PT7M4S,False,https://www.youtube.com/watch?v=HAmPn41tVw8,5,15.15
GLBgyeEBqjo,ट्रेन से सोन नदी का खूबसूरत नज़ारा 😍 | Dehri-On-Sone to Barun Train Journey 🚆#SonNadi #DehriOnSone,2026-08-27 16:05:15+00:00,1803,0,0,PT35S,False,https://www.youtube.com/watch?v=GLBgyeEBqjo,0,0.0
rdtU6zhDsJ0,Shree Krishna Janmashtami 🙏Celebration 2025 | Beautiful Village Festival | 16 August 2025 🦚,2026-08-22 18:38:05+00:00,86,0,2,PT4M30S,False,https://www.youtube.com/watch?v=rdtU6zhDsJ0,2,2.33
XgpaNLbU75w,4k Video 📸𝐀𝐦𝐚𝐳𝐢𝐧𝐠 𝐃𝐚𝐧𝐜𝐞 𝐏𝐞𝐫𝐟𝐨𝐫𝐦𝐚𝐧𝐜𝐞 @rajraushanofficial02 #gnsu New 2026 Dance Performance ,2026-08-21 13:05:27+00:00,125,0,2,PT2M31S,False,https://www.youtube.com/watch?v=XgpaNLbU75w,2,1.6
-xsXdBWr5zY,4k Video 📸 !! Sher Shah Suri Tomb Sasaram Vlog 2026 | बिहार का ऐतिहासिक अजूबा 😍#sasaram #rajraushan,2026-08-19 07:38:26+00:00,79,0,0,PT18M32S,False,https://www.youtube.com/watch?v=-xsXdBWr5zY,0,0.0
73drKFLdfLc,#rajraushanofficial #travel #bihar #nature #rajraushan,2026-08-18 14:53:06+00:00,170,0,0,PT23S,False,https://www.youtube.com/watch?v=73drKFLdfLc,0,0.0
fhIPa2hTfU4,#rajraushanofficial #travel #sasaram #nature #rohtas #vlog #vlog #youtubeshorts  #bihar #rajraushan,2026-08-18 08:24:58+00:00,264,0,0,PT26S,True,https://www.youtube.com/watch?v=fhIPa2hTfU4,0,0.0
30_0-Qb0rQo,#sasaram #tomb #rajraushanofficial #travel #bihar #nature #rajraushan #rohtas #vlog #youtubeshorts,2026-08-16 15:47:24+00:00,228,0,0,PT21S,True,https://www.youtube.com/watch?v=30_0-Qb0rQo,0,0.0
4Mw8oaE7p-o,#rajraushanofficial #2026  #bihar #nature #rajraushan #rohtas #vlog #youtubeshorts #bihartourism,2026-08-16 08:26:01+00:00,896,0,0,PT38S,True,https://www.youtube.com/watch?v=4Mw8oaE7p-o,0,0.0
_O-TB3zb5XU,Shershah Suri Tomb Sasaram # #rajraushanofficial #bihar #rajraushan #rohtas #sasaram,2026-08-15 16:05:22+00:00,785,0,0,PT24S,False,https://www.youtube.com/watch?v=_O-TB3zb5XU,0,0.0
YTCrClJMnn8,Shershah suri Tomb Sasaram #rajraushanofficial #travel #rajraushan #bihar #vlog,2026-08-15 12:42:21+00:00,378,0,0,PT21S,False,https://www.youtube.com/watch?v=YTCrClJMnn8,0,0.0
uQvhg0QlbOs,Shershah suri Tomb Sasaram # #travel #nature #rajraushan #bihar #vlog,2026-08-15 10:26:28+00:00,1462,0,0,PT28S,False,https://www.youtube.com/watch?v=uQvhg0QlbOs,0,0.0
nsydORrhoYs,Travel #rajraushanofficial #rajraushan #rohtas #nature #vlog #vlog #bihar #youtubeshorts,2026-08-14 10:22:37+00:00,65,0,0,PT36S,True,https://www.youtube.com/watch?v=nsydORrhoYs,0,0.0
_J-5LHFzwVE,🇮🇳,2026-08-13 12:09:15+00:00,33,0,0,PT22S,False,https://www.youtube.com/watch?v=_J-5LHFzwVE,0,0.0
pPAqMtryYUQ,🔥 𝐒𝐞𝐧𝐢𝐨𝐫 𝐅𝐚𝐫𝐞𝐰𝐞𝐥𝐥 𝐏𝐚𝐫𝐭𝐲 𝟐𝟎𝟐𝟔 | 𝐆𝐨𝐩𝐚𝐥 𝐍𝐚𝐫𝐚𝐲𝐚𝐧 𝐒𝐢𝐧𝐠𝐡 𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭𝐲 | 𝐀𝐦𝐚𝐳𝐢𝐧𝐠 𝐃𝐚𝐧𝐜𝐞 𝐏𝐞𝐫𝐟𝐨𝐫𝐦𝐚𝐧𝐜𝐞 🔥 #gnsu ,2026-08-12 09:58:40+00:00,295,0,2,PT4M47S,False,https://www.youtube.com/watch?v=pPAqMtryYUQ,2,0.68
Nqwq-KGBVSc,#gnsu @rajraushanofficial02,2026-08-12 07:44:00+00:00,71,0,1,PT1M,False,https://www.youtube.com/watch?v=Nqwq-KGBVSc,1,1.41
F0CC14OYfHw,#rajraushanofficial,2026-08-10 15:22:36+00:00,20,0,0,PT59S,False,https://www.youtube.com/watch?v=F0CC14OYfHw,0,0.0
CB-LgmLHjI8,🌿 करमचट डैम का सफर शुरू… रास्ता ही इतना खूबसूरत है 😍#shorts #2026 #world,2026-08-08 17:09:42+00:00,26,0,2,PT55S,True,https://www.youtube.com/watch?v=CB-LgmLHjI8,2,7.69
7qMlEFFQtIU,#rajraushanofficial,2026-08-07 14:57:48+00:00,1438,0,0,PT22S,False,https://www.youtube.com/watch?v=7qMlEFFQtIU,0,0.0
QPp7EyqZ0A0,@rajraushanofficial02,2026-08-06 08:22:39+00:00,150,0,0,PT18S,False,https://www.youtube.com/watch?v=QPp7EyqZ0A0,0,0.0
CxM9zfzV-KE,#rajraushanofficial,2026-08-05 12:26:59+00:00,34,0,0,PT56S,False,https://www.youtube.com/watch?v=CxM9zfzV-KE,0,0.0
r-1VOmDbjJQ,4k Video | Part :- 2 !! Guptadham to Shergarh Fort | Hidden Paradise of Bihar 😱 | Rohtas Travel Vlog,2026-08-04 05:29:39+00:00,181,0,2,PT19M46S,False,https://www.youtube.com/watch?v=r-1VOmDbjJQ,2,1.1
Bw42DOLEW10,# #rajraushanofficial SUBSCRIBE,2026-08-01 18:14:45+00:00,51,0,0,PT55S,False,https://www.youtube.com/watch?v=Bw42DOLEW10,0,0.0
K3e7NPaytuY,#nature #travel #youtubeshorts #rohtas #2026 #vlog,2026-08-01 12:51:55+00:00,1097,0,1,PT34S,True,https://www.youtube.com/watch?v=K3e7NPaytuY,1,0.09
